id,week,name,artist,kana,year,nation,label,producer,corner,youtube
162,20,さすらいの太陽,スリー・グレイセス,,1971,JPN,日本コロムビア,,,
163,20,きこえるかしら,大和田りつこ,おおわだりつこ,1979,JPN,,,,DBQgH2o8YKI
164,20,ミクロイドS,ヤング・スターズ,,1973,JPN,,,,GISZN2NBgU0
165,20,レオのうた,弘田三枝子,ひろたみえこ,1965,JPN,,,,
166,20,正義の使者だぜ ドテラマン,こおろぎ'73,,1986,JPN,日本コロムビア,,,
167,20,Kill Me Stop,CASCADE,,1995,JPN,ビクターエンタテイメント,,ちょっぴりタイムマシン,
168,21,正しい街,the ウラシマ’S,,2017,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
169,21,Any Way You Want It,Journey,,1980,US,Columbia,Geoff Workman,,atxUuldUcfI
170,21,Heat of the Moment,Asia,,1982,UK,Geffen,Mike Stone,,81qZLpu8FY4
171,21,Working for the Weekend,Loverboy,,1981,CAN,Columbia,Bruce Fairbairn,,zL8G5pBZ5CI
172,21,In Your Letter,REO Speedwagon,,1980,US,Epic,Kevin Beamish,,zpOULjyy-n8
173,21,People of the South Wind,Kansas,,1979,US,Kirshner,,,FtXwopQ0GYo
174,21,99,Toto,,1979,US,Columbia,,,qhw-XlTMB5I
175,21,Y・M・J・S,Sepa,,2001,JPN,徳間ジャパン,森純太,ちょっぴりタイムマシン,
176,22,ロビンソン,スピッツ,,1995,JPN,ポリドール,笹路正徳,漫遊前の一曲,51CH3dPaWXc
177,22,僕はコレクター,THE COLLECTORS,,1987,JPN,BAIDIS,,,
178,22,虹色サーカス団,THE COLLECTORS,,1988,JPN,BAIDIS,,,
179,22,太陽が昇るまえに,THE COLLECTORS,,1989,JPN,BAIDIS,,,
180,22,LUNA,THE COLLECTORS,,2001,JPN,TRIAD,吉田仁,,c-l7ozIHx4I
181,22,東京虫バグズ,THE COLLECTORS,,2007,JPN,TRIAD,吉田仁,,
182,22,ロマンチック・プラネット,THE COLLECTORS,,2016,JPN,TRIAD,,,
183,22,タイマー,フーバーオーバー,,2008,JPN,PLUS MAGIC,,ちょっぴりタイムマシン,
184,23,ジュテーム？,スピッツ,,2000,JPN,ポリドール,石田小吉,漫遊前の一曲,
185,23,Je veux qu’il revienne,Françoise Hardy,,1964,FR,Disques Vogue,Jacques Wolfsohn,,opUnrzBE45s
186,23,Harley Davidson,Brigitte Bardot,,1968,FR,Mercury Records,,,nKltTdqtLFo
187,23,Antisocial,Trust,,1980,FR,BMG,,,Hx_m7Y9nGtU
188,23,Cybele's Reverie,Stereolab,,1996,UK,Duophonic,,,NgGkUMCixH0
189,23,J't'emmène au vent,Louise attaque,,1997,FR,Atmosphériques,,,BRTDC9Z5UdE
190,23,Perdus cette nuit,BB Brunes,,2007,FR,Warner Music,,,gf4yoP3wWdo
191,23,Je cours,Kyo,,2003,FR,Jive Records,,,5xqBUE8z-bk
192,23,明日の行方,SMILE,,1995,JPN,ソニー・ミュージックレコーズ,,ちょっぴりタイムマシン,
193,24,あじさい通り,スピッツ,,1995,JPN,ポリドール,笹路正徳,漫遊前の一曲,
194,24,昆虫軍,戸川純,とがわじゅん,1984,JPN,アルファレコード,,,
195,24,べにくじら,有頂天,うちょうてん,1986,JPN,キャニオンレコード,,,
196,24,GERONIMO,GASTUNK,,1986,JPN,クラウンミュージック,,,
197,24,うめたて,ZELDA,,1983,JPN,日本フォノグラム,白井良明,,
198,24,BROKEN GENERATION,LAUGHIN' NOSE,,1985,JPN,VAP,,,foIbzhIPFJQ
199,24,"I Am Bitch, Or Not",キャ→,,1986,JPN,Spankids Record,,,
200,24,only you(唯一人),ばちかぶり,,1985,JPN,ナゴムレコード,,,
201,24,痛み,クレヨン社,,1988,JPN,NECアベニュー,,ちょっぴりタイムマシン,
202,25,猫になりたい,スピッツ,,1994,JPN,ポリドール,笹路正徳,漫遊前の一曲,
203,25,Daydream Believer,The Monkees,,1967,US,Colgems,Chip Douglas,,xvqeSJlgaNk
204,25,Looking for the Man,Rabbitt,,1975,ZAF,Jo'Burg Records,,,
205,25,Heartache Tonight,Eagles,,1979,US,Asylum,Bill Szymczyk,,
206,25,I Don't Like It,Zebra,,1984,US,Atlantic,Jack Douglas,,-0KU-D9dHRk
207,25,Prepare Your Coffin,Tortoise,,2009,US,Thrill Jockey,,,6zRJftR_508
208,25,Come Unwound,The Bulls,,2014,US,Diet Pink Records,,,2Pc64JWiqNA
209,25,You're in Love,Ratt,,1985,US,Atlantic,Beau Hill,,8aqyosRF1Aw
210,25,コペルニクス,SKAFUNK,,1989,JPN,Wonder Force,,ちょっぴりタイムマシン,
211,26,青い車,スピッツ,,1994,JPN,ポリドール,土方隆行,漫遊前の一曲,5K8ZuLYG0yo
212,26,Black Shuck,The Darkness,,2003,UK,Atlantic,Pedro Ferreira,,nRlTc1RYMGU
213,26,Wuthering Heights,Kate Bush,,1978,UK,EMI,Andrew Powell,,-1pMMIe4hb4
214,26,Hocus Pocus,Focus,,1971,NED,Imperial Records,Mike Vernon,,9esBTlhbC_g
215,26,Stayin’ Alive,Bee Gees,,1977,US,RSO,Albhy Galuten,,I_izvAbhExY
216,26,Anthem,Rush,,1975,CAN,Anthem,Terry Brown,,
217,26,ワタリドリ,[ALEXANDROS],Alexandros,2015,JPN,ユニバーサル,,,O_DLtVuiqhI
218,26,Lovin’ You,Minnie Riperton,,1975,US,Epic,Stevie Wonder,,REe_U1MxIKM
219,26,終電マスター,FREENOTE,,2003,JPN,DESERT AIR RECORDS,,ちょっぴりタイムマシン,xrUrKSbYVgE
220,27,小さな生き物,スピッツ,,2013,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,tU5mPtGk1Eg
221,27,The Concept,Teenage Fanclub,,1991,UK,Creation,,,7JYH1pVbqpQ
222,27,Like a Virgin,Teenage Fanclub,,1991,UK,Creation,,,
223,27,The Cabbage,Teenage Fanclub,,1993,UK,Creation,,,LiZrfCWsuMk
224,27,Sparky's Dream,Teenage Fanclub,,1995,UK,Creation,,,UK_CuMJJLwg
225,27,Ain't That Enough,Teenage Fanclub,,1997,UK,Creation,,,jdeqYx-9-AQ
226,27,I Don't Want Control of You,Teenage Fanclub,,1997,UK,Creation,,,
227,27,I'm In Love,Teenage Fanclub,,2016,UK,Merge,,,FDOLKSp2AWU
228,27,Fall in Love Once Again,SPORTS,,2006,JPN,ビクターエンタテイメント,,ちょっぴりタイムマシン,
229,28,ハニーハニー,スピッツ,,1992,JPN,ポリドール,高橋信彦,漫遊前の一曲,
230,28,Run Run Run,Jo Jo Gunne,,1972,US,Asylum,Tom Dowd,,cOi0Iv5J45c
231,28,ハイ!チャイナ!,thee michelle gun elephant,,1997,JPN,TRIAD,,,
232,28,Panic,The Smiths,,1986,UK,Rough Trade,John Porter,,wMykYSQaG_c
233,28,Midnight Teenage Shuffle,PERSONZ,,1987,JPN,BAIDIS,,,pUnQzRNxfiA
234,28,Gepetto,Belly,,1993,US,Sire,Gil Norton,,SBi676v4Gs4
235,28,Lazy Sunday,Small Faces,,1968,UK,EMI,,,o_ZKQtmNMVE
236,28,Southern Girls,Cheap Trick,,1977,US,Epic,Tom Werman,,VRSg81H7Bm0
237,28,体力に限界はあるのか,カステラ,,1989,JPN,CBS・ソニー,,ちょっぴりタイムマシン,
238,29,ハチの針,スピッツ,,2016,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
239,29,You Really Got Me,The Kinks,,1964,UK,Pye,Shel Talmy,,fTTsY-oz6Go
240,29,Rock Bottom,UFO,,1974,UK,Chrysalis,Leo Lyons,,BdJTUuwYBN8
241,29,Welcome to the Jungle,Guns N' Roses,,1987,US,Geffen,Mike Clink,,o1tj2zJ2Wvg
242,29,Sick of Myself,Matthew Sweet,,1995,US,Zoo Entertainment,Brendan O’Brien,,sNfocDNZWY8
243,29,People of the Sun,Rage Against the Machine,,1996,US,Epic,Brendan O’Brien,,scyC9A6o_Ts
244,29,ユー・エフ・オー,吉田ヨウヘイgroup,よしだようへいぐるーぷ,2015,JPN,P-VINE,,,sXr0jiIUr6g
245,29,星のリンダ,JET KELLY,,2004,JPN,meldac,,ちょっぴりタイムマシン,
246,30,夏の魔物,スピッツ,,1991,JPN,ポリドール,高橋信彦,漫遊前の一曲,
247,30,サマーツアー,RCサクセション,,1982,JPN,ロンドン・レコード,,,dRMIUegdhh4
248,30,SUMMER SONG,YUI,,2008,JPN,STUDIOSEVEN Recordings,HISASHI KONDO,,JW7y1gzWISA
249,30,Summer Soul,cero,,2015,JPN,カクバリズム,,,lfETQNfBAD4
250,30,SUMMER BREEZE,go!go!vanillas,,2018,JPN,ビクターエンタテイメント,,,lTYHDtukfcw
251,30,夏が来て僕等,真島昌利,ましままさとし,1989,JPN,メルダック,篠原太郎,,
252,30,真夏の夜の事,初恋の嵐,はつこいのあらし,2002,JPN,ユニバーサル,,,1_Op0iJ9Ddc
253,30,あなほり,KUSU KUSU,,1989,JPN,ゴリランドレコード,,ちょっぴりタイムマシン,
254,31,初恋に捧ぐ,スピッツ,,2012,JPN,ユニバーサル,,漫遊前の一曲,
255,31,The Real Me,The Who,,1973,UK,Track,,田村明浩選曲,9QhB411bMuU
256,31,Don't Look Around,Mountain,,1971,US,Windfall,,田村明浩選曲,lVU8a5kJSNU
257,31,The Ides of March / Wrathchild,Iron Maiden,,1981,UK,EMI,Martin Birch,田村明浩選曲,io4ObwuO24w
258,31,London Calling,The Clash,,1979,UK,CBS,Guy Stevens,田村明浩選曲,EfK-WX2pa8c
259,31,Caught in a Mosh,Anthrax,,1987,US,Megaforce,,田村明浩選曲,zlLn0UicWrM
260,31,You're My Best Friend,Queen,,1976,UK,EMI,Roy Thomas Baker,田村明浩選曲,HaZpZQG2z10
261,31,オレンジ色の月,マルコシアス・バンプ,,1990,JPN,ビクターエンタテイメント,,ちょっぴりタイムマシン,
262,32,ナンプラー日和,スピッツ,,2005,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
263,32,Stay (I Missed You),Lisa Loeb and Nine Stories,,1994,US,RCA,,三輪テツヤ選曲,i9HGwRbMiVY
264,32,Luka,Suzanne Vega,,1987,US,A&M,Steve Addabbo,三輪テツヤ選曲,VZt7J0iaUD0
265,32,Appointments,Julien Baker,,2017,US,Matador,,三輪テツヤ選曲,MdBu21i9aEE
266,32,No Ordinary Love (Live 2011),Sade,,2012,US,Epic,Mike Pela,三輪テツヤ選曲,au8rHGvytn8
267,32,Beauty,James Iha,,1997,US,Hut Records,Jim Scott,三輪テツヤ選曲,
268,32,Delaware,Don Peris,,2006,US,Jemez Mountain,,三輪テツヤ選曲,
269,32,初めて恋をした日,区麗情,くれいじょう,1994,JPN,Sony Records,,ちょっぴりタイムマシン,
270,33,オーバードライブ,スピッツ,,1992,JPN,ポリドール,,漫遊前の一曲,
271,33,Colorado Bulldog,Mr. Big,,1993,US,Atlantic,Kevin Elson,崎山龍男選曲,
272,33,Come Dancing,Jeff Beck,,1976,UK,Epic,George Martin,崎山龍男選曲,
273,33,Sparkle,山下達郎,やましたたつろう,1982,JPN,AIR ⁄ RVC,,崎山龍男選曲,
274,33,I WANT YOUR LOVE,DEAD END,,1989,JPN,BMGビクター,岡野ハジメ,崎山龍男選曲,
275,33,The Weight,The Band,,1968,US,Capitol Records,John Simon,崎山龍男選曲,Ymgvs0KU1L0
276,33,GパンとTシャツとブーツで,The Wells,,1993,JPN,日本コロムビア,,ちょっぴりタイムマシン,
277,34,ミカンズのテーマ,スピッツ,,2002,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
278,34,あなたに,MONGOL800,,2001,JPN,HIGH WAVE,,,0jFIrBvuuQ0
279,34,Heart Breaker,Condition Green,,1977,JPN,SEE-SAW,,,
280,34,五穀豊穣,パーシャクラブ,,1996,JPN,Eastworld,,,
281,34,上海ハニー,ORANGE RANGE,,2003,JPN,gr8! records,シライシ紗トリ,,
282,34,さよなら,かりゆし58,,2009,JPN,LD&K Records,,,Quv9IhgPswc
283,34,Parametric E.Q,caino,,2015,JPN,VAA,,,C132CaIZJBI
284,34,バリバリHOT,ホイフェスタ,,2005,JPN,ソニー・ミュージックレコーズ,,ちょっぴりタイムマシン,
285,35,夏が終わる,スピッツ,,1993,JPN,ポリドール,笹路正徳,漫遊前の一曲,
286,35,It's Still Rock and Roll to Me,Billy Joel,,1980,US,Columbia,Phil Ramone,,5eAQa4MOGkE
287,35,Wonder Woman,Attila,,1970,US,Epic,,,
288,35,Los Angelenos,Billy Joel,,1974,US,Columbia,Michael Stewart,,Wo2TKojbMN8
289,35,Prelude/Angry Young Man,Billy Joel,,1976,US,Columbia,,,M2iNLt_hUZg
290,35,You May Be Right,Billy Joel,,1980,US,Columbia,Phil Ramone,,Jo9t5XK0FhA
291,35,Shades of Grey,Billy Joel,,1993,US,Columbia,,,CopYqp0HZkY
292,35,夢ゴゴチ,江口洋介,えぐちようすけ,1991,JPN,ポリドール,,ちょっぴりタイムマシン,
293,36,ルナルナ,スピッツ,,1995,JPN,ポリドール,笹路正徳,漫遊前の一曲,
294,36,Exotic Lollipop (and other red roses) -奇妙なロリポップ-,Flipper’s Guitar,,1989,JPN,ポリスター,,,
295,36,Oblivious,Aztec Camera,,1983,UK,Rough Trade,,,eiLAIXl3-_Y
296,36,BODY FRESHER,ORIGINAL LOVE,,1991,JPN,Eastworld,,,
297,36,Carnival,The Cardigans,,1995,SWE,Trampolene,Tore Johansson,,7bK5EPjGri4
298,36,ラ・ブーム〜だってMY BOOM IS ME〜,カジヒデキ,,1997,JPN,トラットリア,,,9mnZecT4aYw
299,36,DUMBO,Suchmos,,2017,JPN,SPACE SHOWER MUSIC,金子悟,,
300,36,Knock Away,Attractions,,2017,JPN,GIMMICK-MAGIC,,,RhqkazxbeJw
301,36,An apple a day,bice,,2001,JPN,徳間ジャパン,,ちょっぴりタイムマシン,
302,37,旅人,スピッツ,,1996,JPN,ポリドール,笹路正徳,漫遊前の一曲,
303,37,Cemburu,Dewa,,2000,IDN,Aquarius Musikindo,Dhani Ahmad,,BW9sCb1_Lyo
304,37,新幹線,旺福,わんふー,2003,TWN,角頭音樂,,,r6MNehCIxmo
305,37,Banda Ng Bayan,Rivermaya,,2007,PHL,Warner Music Philippines,,,KqSC7t-tNsA
306,37,Long-D,Neon Bunny,,2011,KOR,Mirrorball Music,,,ISrAo89aCZ0
307,37,แสงสุดท้าย,Bodyslam,,2012,THA,genie records,,,JtvTnTppIik
308,37,Blue Day Dreaming 白日梦蓝,Hedgehog,,2009,CHN,Modern Sky,,,FsrTwBlNUjk
309,37,ハートにOK!,ザ・ファントムギフト,,1987,JPN,MIDI,小西康陽,ちょっぴりタイムマシン,
310,38,ネズミの進化,スピッツ,,2007,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
311,38,Saturday Night,Bay City Rollers,,1975,UK,Arista,Bill Martin,,7BKKaKT_dtM
312,38,Anyway You Want It,Angel,,1976,US,Casablanca,Derek Lawrence,,
313,38,Sick as a Dog,Aerosmith,,1976,US,Columbia,Jack Douglas,,iItP6hXZOlU
314,38,"Roots, Rock, Reggae",Bob Marley and the Wailers,,1976,JAM,Island,,,2jN1bqGr3ZY
315,38,Dark Cloud,Natural Gas,,1976,US,Private Stock,Felix Pappalardi,,x-K2jFkM0NM
316,38,Round & Round,The Edgar Winter Group,,1972,US,Epic,Rick Derringer,,
317,38,おしゃべり！おしゃべり！,小島麻由美,こじままゆみ,1995,JPN,ポニーキャニオン,,ちょっぴりタイムマシン,
318,39,君が思い出になる前に,スピッツ,,1993,JPN,ポリドール,笹路正徳,漫遊前の一曲,LrwC2Xu2POs
319,39,虹の都へ,高野寛,たかのひろし,1990,JPN,東芝EMI,Todd Rundgren,,
320,39,全部あとまわし,The ピーズ,,1989,JPN,ビクター,,,
321,39,コッペル,DOG HAIR DRESSERS,,1999,JPN,SO What? Records,根岸孝旨,,MNIgxUYIAFI
322,39,子供の十字軍,さねよしいさ子,,1993,JPN,フォーライフ ミュージックエンタテイメント,,,
323,39,旅に出よう,寺田十三夫,てらだとみお,1972,JPN,ポリドール,,,
324,39,午前8時の脱走計画,Cymbals,,1999,JPN,ビクター,,,
325,39,町蔵・町子・破壊,0、8秒と衝撃。,,2011,JPN,EVOL RECORDS,,ちょっぴりタイムマシン,RzjuBm0Z0I4
326,40,楓,スピッツ,,1998,JPN,ポリドール,棚谷祐一,漫遊前の一曲,YapsFDcGe_s
327,40,Fire and Water,Free,,1970,UK,Island,Roy Thomas Baker,,n3Jyn3pIzu0
328,40,Wishing Well,Free,,1973,UK,Island,Andy Johns,,zP-QZD9DcdE
329,40,Can’t Get Enough,Bad Company,,1974,UK,Island,,,7p9mzYB--uI
330,40,Painted Face,Bad Company,,1982,UK,Swan Song Records,,,VZMT3F6MLUk
331,40,We Are the Champion,Queen + Paul Rodgers,,2005,UK,Parlophone,Joshua J. Macrae,,k6AcfSKdy3A
332,40,Guardian of the Universe,Free,,1972,UK,Island,,,o93ywNZMsZs
333,40,おもちゃの血,ローザ・ルクセンブルグ,,1986,JPN,MIDI,,ちょっぴりタイムマシン,
334,41,不死身のビーナス,スピッツ,,1994,JPN,ポリドール,笹路正徳,漫遊前の一曲,
335,41,危険なふたり,沢田研二,さわだけんじ,1973,JPN,ポリドール,佐々木幸男,,
336,41,少女A,中森明菜,なかもりあきな,1982,JPN,リプリーズ・レコード,小田洋雄,,
337,41,春一番,キャンディーズ,,1976,JPN,CBS・ソニー,,,
338,41,男達のメロディー,SHOGUN,,1979,JPN,CBS・ソニー,,,
339,41,チェリーブラッサム,松田聖子,まつだせいこ,1981,JPN,CBS・ソニー,,,
340,41,大都会,クリスタルキング,,1979,JPN,キャニオンレコード,,,
341,41,闘牛士,Char,,1978,JPN,SEE-SAW,,ちょっぴりタイムマシン,
342,42,僕の天使マリ,スピッツ,,1992,JPN,ポリドール,,漫遊前の一曲,
343,42,Fiesta,The Pogues,,1988,UK,Pogue Mahone,Steve Lillywhite,,6pYI9t-I6qo
344,42,大迷惑,UNICORN,,1989,JPN,CBS・ソニー,笹路正徳,,9vEw-r3mmfk
345,42,ざまぁカンカン娘,GO-BANG'S,,1988,JPN,ポニーキャニオン,,,
346,42,Needles,System of a Down,,2001,US,Columbia,,,
347,42,憧れてきたんだ,あいみょん,,2017,JPN,unBORDE,,,
348,42,車輪の唄,BUMP OF CHICKEN,,2004,JPN,トイズファクトリー,,,x9S9oygUEW0
349,42,A Well Respected Man,The Kinks,,1965,UK,Reprise Records,Shel Talmy,,Gz3Pevx6FRk
350,42,チョイスで会おうぜ,ニューロティカ,,1989,JPN,キャプテンレコード,,ちょっぴりタイムマシン,J4YZS2OdW_U
351,43,うめぼし,スピッツ,,1991,JPN,ポリドール,高橋信彦,漫遊前の一曲,
352,43,yonige,アボカド,,2015,JPN,small indies table,,,F3tnfgZhJME
353,43,空芯菜,キュウソネコカミ,,2013,JPN,Exxentric Records,,,
354,43,Vegetable,Radiohead,,1993,UK,Parlophone,,,
355,43,ポテトサラダ,ZAZEN BOYS,,2012,JPN,Matsuri Studio,,,
356,43,Hot Dog,Led Zeppelin,,1979,UK,Swan Song Records,,,QOLTwt-bqoU
357,43,SPAGHETTI HAIR,BLANKY JET CITY,,1997,JPN,ポリドール,,,
358,43,バウムクーヘン,フジファブリック,,2009,JPN,EMIミュージック・ジャパン,,,
359,43,孤独,平野レミ,ひらのれみ,1988,JPN,アポロン,,ちょっぴりタイムマシン,
360,44,ハイファイ・ローファイ,スピッツ,,1999,JPN,ポリドール,,漫遊前の一曲,
361,44,While You See a Chance,Steve Winwood,,1980,UK,Island,,クジヒロコ選曲,0j6g_uUhH2c
362,44,Pump It Up,Elvis Costello,,1978,UK,Radar,Nick Lowe,クジヒロコ選曲,3Y71iDvCYXA
363,44,Revue,Squeeze,,1978,UK,A&M,John Wood,クジヒロコ選曲,jMf544DZlPg
364,44,In Between Days,The Cure,,1985,UK,Fiction,,クジヒロコ選曲,scif2vfg1ug
365,44,A Beautiful Sea,Sing Street,,2016,IRE,Decca Records,,クジヒロコ選曲,CiFQxM3isl8
366,44,Little Jの嘆き,GREAT3,,1996,JPN,東芝EMI,,クジヒロコ選曲,wbfFgR3tc4I
367,44,EVERY PLANETS SON,ヴィーナス・ペーター,,1992,JPN,WONDER RELEASE RECORDS,,クジヒロコ選曲,
368,45,ハチミツ,スピッツ,,1995,JPN,ポリドール,笹路正徳,漫遊前の一曲,6J1sPwGCH5w
