id,week,name,artist,kana,year,nation,label,producer,corner,youtube
1,1,My Sharona,The Knack,,1979,US,Capitol Records,,,bbr60I0u2Ng
2,1,Don’t Look Back,Boston,,1978,US,Epic,,,2HuiH-0R6a0
3,1,Way of the World,Cheap Trick,,1979,US,Epic,,,y1JuM8fP2dM
4,1,Can the Can,Suzi Quatro,,1973,US,RAK Records,,,
5,1,Message in a Bottle,The Police,,1979,UK,A&M,,,MbXWrmQW-OE
6,1,The Unconventional,Japan,,1978,UK,Hansa,,,
7,1,Strutter ’78,Kiss,,1978,US,Casablanca,,,
8,1,Breakfast in America,Supertramp,,1979,UK,A&M,,,
9,1,醒めない,スピッツ,,2016,JPN,Universal Records,亀田誠治,,fuebj1esuwY
10,2,歌ウサギ,スピッツ,,2017,JPN,Universal Records,亀田誠治,漫遊前の一曲,
11,2,Superstar,Andrew Lloyd Webber and Tim Rice,,1969,UK,Decca/MCA,"Tim Rice, Andrew Lloyd Webber",,
12,2,The Living End,Judee Sill,,1974,US,Water Records,Judee Sill,,
13,2,Dust,Fleetwood Mac,,1972,UK,Reprise Records,Fleetwood Mac,,
14,2,サースティ,吉田ヨウヘイgroup,よしだようへいぐるーぷ,2017,JPN,P-VINE,,,
15,2,You Stole My Heart,Randy California,,1979,US,,Randy California,,
16,2,N.E.O.,CHAI,,2017,JPN,OTEMOYAN record,CHAI,,YMGf3zyhG94
17,2,Dreamtime,SOON,,1998,JPN,東芝EMI,,ちょっぴりタイムマシーン,
18,3,みそか,スピッツ,,2005,JPN,Universal Records,亀田誠治,漫遊前の一曲,
19,3,Living After Midnight,Judas Priest,,1980,UK,Columbia,Tom Allom,,9VVFNgbsDC4
20,3,Paranoid,Black Sabbath,,1970,UK,Vertigo,Rodger Bain,,hkXHsK4AQPs
21,3,Heartbreaker,Led Zeppelin,,1969,UK,Atlantic,Jimmy Page,,
22,3,SHINY DAY,EARTHSHAKER,,1984,JPN,キングレコード,,,2IkMJ2xhS8Q
23,3,Sparkle,山下達郎,やましたたつろう,1982,JPN,AIR ⁄ RVC,,,
24,3,Dreamy Dreamer,LU-NA,,1991,JPN,キングレコード,,ちょっぴりタイムマシーン,
25,4,インディゴ地平線,スピッツ,,1996,JPN,ポリドール,笹路正徳,漫遊前の一曲,cdMEZkGW2PA
26,4,はじまりの国,People In the Box,,2007,JPN,under_bar,,,dBz5JsdDTHw
27,4,初期衝動,BRAHMAN,,2013,JPN,トイズファクトリー,,,NnRvCS_pa8I
28,4,GOLD,Awesome City Club,,2015,JPN,ビクターエンタテイメント,,,8cP9HeZS37E
29,4,Amazing Parade,Czecho No Republic,,2014,JPN,日本コロムビア,,,
30,4,血清,パノラマメロウ,,2017,JPN,パノラマメロウ,,,
31,4,Merry Go Round In Rainy Days,NYAI,,2016,JPN,ニャイちゃんレーベル,,,PRTQb_BYqig
32,4,新しい風,陣内大蔵,じんないだいぞう,1992,JPN,ファンハウス,,ちょっぴりタイムマシーン,
33,5,みなと,スピッツ,,2016,JPN,Universal Records,亀田誠治,漫遊前の一曲,GiuxvmiULhI
34,5,The Drugs Don’t Work,The Verve,,1997,UK,Hut Records,"Youth, Chris Potter",,ToQ0n3itoII
35,5,Real Animal,The House of Love,,1987,UK,Creation,,,
36,5,Can’t Be Sure,The Sundays,,1989,UK,Rough Trade,Ray Shulman,,yARVs1ZNLjU
37,5,空洞です,ゆらゆら帝国,,2007,JPN,ソニー・ミュージックアソシエイテッドレコーズ,,,mKUhq7SYouA
38,5,Summer of '69,Bryan Adams,,1984,CAN,A&M,Bob Clearmountain,,eFjjO_lhf9c
39,5,I Don't Know What It Is,Rufus Wainwright,,2004,CAN,DreamWorks Records,Marius de Vries,,
40,5,夕なぎ,Nav Katze,,1987,JPN,SWITCH,窪田晴男,ちょっぴりタイムマシーン,
41,6,魔女旅に出る,スピッツ,,1991,JPN,ポリドール,高橋信彦,漫遊前の一曲,
42,6,Honesty,Billy Joel,,1979,US,Columbia,Phil Ramone,,SuFScoO4tb0
43,6,Pretty Ballerina,The Left Banke,,1967,US,Smash,Harry Lookofsky,,
44,6,Love Me Please Love Me,Michel Polnareff,,1966,FR,Disc'AZ,,,
45,6,Leave a Light On,Belinda Carlisle,,1989,US,"MCA, Virgin",Rick Nowels,,pmZYE8j2ZNs
46,6,Love Letter Boxes,The Posies,,1993,US,DGC,Don Fleming,,
47,6,YES-YES-YES,オフコース,,1982,JPN,EXPRESS,,,
48,6,積木の汽車,Sheen,,1995,JPN,ファンハウス,森達彦,ちょっぴりタイムマシーン,
49,7,スカーレット,スピッツ,,1998,JPN,ポリドール,笹路正徳,漫遊前の一曲,l1-D43s6D_A
50,7,The Hellion / Electric Eye,Judas Priest,,1982,UK,Columbia,Tom Allom,三輪テツヤ選曲,yMVV_HsHcX0
51,7,Purgatory,Iron Maiden,,1981,UK,EMI,Martin Birch,田村明浩選曲,ie7GZGdgdPQ
52,7,あせかきベソかきRock’n Roll run,横浜銀蝿,よこはまぎんばえ,1982,JPN,キングレコード,,崎山龍男選曲,
53,7,ふっかつのじゅもん,sumika,,2014,JPN,murffin discs,,,mSe8zHd27MU
54,7,You,Nuno,,1997,US,A&M,Anthony J. Resta,三輪テツヤ選曲,
55,7,NO YOUNG,フラワーカンパニーズ,,2017,JPN,チキン・スキン・レコード,,田村明浩選曲,
56,7,alone,BAND-MAID,,2016,JPN,CROWN STONES,,崎山龍男選曲,axF56i4spio
57,7,Honey Dripper,アン・ルイス,,1986,JPN,ビクター,,ちょっぴりタイムマシーン,
58,8,ハイファイ・ローファイ(NEW MIX),スピッツ,,2004,JPN,ユニバーサル,,漫遊前の一曲,
59,8,Stand Up & Shout,Dio,,1983,UK,Vertigo,Ronnie James Dio,三輪テツヤ選曲,
60,8,The Spirit of Radio,Rush,,1980,CAN,Mercury Records,Terry Brown,田村明浩選曲,QuL_euRslTc
61,8,Loudness,Loudness,,1981,JPN,日本コロムビア,,崎山龍男選曲,
62,8,Lonesome in a crowd,The Groovers,,2009,JPN,BM tunes,,三輪テツヤ選曲,
63,8,Cum On Feel the Noize,Quiet Riot,,1983,US,Pasha,Spencer Proffer,田村明浩選曲,ZxgMGk9JPVA
64,8,ロマンスがありあまる,ゲスの極み乙女。,げすのきわみおとめ,2015,JPN,ワーナーミュージック・ジャパン,,崎山龍男選曲,C6-AN8J385c
65,8,LADY REIKO,BLIZARD,,1984,JPN,ワーナー・パイオニア,,ちょっぴりタイムマシーン,
66,9,春の歌,スピッツ,,2005,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,94uxNQqmknk
67,9,Blackbird,The Beatles,,1968,UK,Apple,George Martin,,
68,9,バンドワゴン,くるり,,2004,JPN,SPEEDSTAR RECORDS,,,
69,9,Ho Hey,The Lumineers,,2012,US,Dualtone,Ryan Hadlock,,zvCBSSwgtg4
70,9,ゆらゆら,YeYe,,2017,JPN,Rallye,,,StkLx0e4f6c
71,9,Queen Bitch,David Bowie,,1971,UK,RCA,Ken Scott,,
72,9,Wond’ring Aloud ,Jethro Tull,,1971,UK,Chrysalis,,,
73,9,クロ,遊佐未森,ゆさみもり,2005,JPN,ヤマハミュージックコミュニケーションズ,,ちょっぴりタイムマシーン,
74,10,1987→,スピッツ,,2017,JPN,ユニバーサル,,漫遊前の一曲,SalC2mBb1QQ
75,10,優しい川,エレファントカシマシ,,1988,JPN,EPIC SONY,,,
76,10,虹の彼方へ,Mr.Children,,1992,JPN,トイズファクトリー,小林武史,,
77,10,おーい！！,ウルフルズ,,2015,JPN,ワーナーミュージック・ジャパン,,,
78,10,だけど一人じゃいられない,JUN SKY WALKER(S),,1988,JPN,トイズファクトリー,,,
79,10,ビューティフルドリーマー,フラワーカンパニーズ,,2013,JPN,ソニー・ミュージックアソシエイテッドレコーズ,,,fIh0IAqObi8
80,10,Charmless Man,Blur,,1995,UK,Food,Stephen Street,,p1a_4CN4onA
81,10,月とSNAPSHOTS,鈴木祥子,すずきさちこ,1995,JPN,EPIC SONY,,ちょっぴりタイムマシーン,
82,11,Holiday,スピッツ,,2000,JPN,ポリドール,石田小吉,漫遊前の一曲,
83,11,キルミー,SUNNY CAR WASH,,2017,JPN,OFUTON RECORDS,,,8AkTa5QjssU
84,11,ベイビーイッツオールライト,Layne,,2017,JPN,Youth Records,,,
85,11,"Lies,Lies,Lies/あの娘は嘘つき",SHOTGUN RUNNERS,,2011,JPN,MAJESTIC SOUND RECORDS,,,-PCYIJXX0eI
86,11,きみの春になれたら,プププランド,,2017,JPN,EXXENTRIC RECORDS,,,-TA2sEgc_Iw
87,11,Ghana,D.A.N,,2016,JPN,SSWB / BAYON PRODUCTION,,,z2EcSLaK15w
88,11,檸檬,BURNOUT SYNDROMES,,2016,JPN,EPIC SONY,,,
89,11,いってみよう,馬喰町バンド,ばくろちょうばんど,2017,JPN,HOWANIMALMOVE,,,wz2lipZ3Lho
90,11,欲しいのはおまえだけ,BOW WOW,,1980,JPN,SMS Records,,ちょっぴりタイムマシーン,
91,12,ヒバリのこころ,スピッツ,,1991,JPN,ポリドール,高橋信彦,漫遊前の一曲,GYmu0pLeU_c
92,12,ふな ふな ふなっしー♪,ふなっしー,,2013,JPN,ユニバーサル,高見沢俊彦,,EyRgTBwQ_d8
93,12,半斤八両,許冠傑,さみゅえるほい,1976,HKG,PolyGram,,,
94,12,Yamasuki,Yamasuki Singers,,1971,FR,Biram,Jean Kluger,,
95,12,O・TO・GA・MEはーと,激しぶBOYS,げきしぶぼういず,2004,JPN,トイズファクトリー,,,
96,12,どこへ行くの,川崎幸子・敏子,かわさきゆきことしこ,1970,JPN,日本コロムビア,,,
97,12,目をつむってモンキーダンス,平尾昌晃,ひらおまさあき,1960,JPN,キングレコード,,,
98,12,値上げ,高田渡,たかだわたる,1971,JPN,キングレコード,,,
99,12,New Morning,カーネーション,,1997,JPN,日本コロムビア,,ちょっぴりタイムマシーン,TbK6mkKb5hg
100,13,愛のしるし,スピッツ,,1999,JPN,ポリドール,白井良明,漫遊前の一曲,7awhzclrBMc
101,13,Be My Baby,Vanessa Paradis,,1992,FR,Remark Records,Lenny Kravitz,,WXnR7iZy0ZM
102,13,The Difference,The Wallflowers,,1996,US,Interscope Records,T Bone Burnett,,5qSAMtomFvk
103,13,"Listen, Learn, Read On",Deep Purple,,1968,UK,Tetragrammaton,Derek Lawrence,,
104,13,まんをじして,奥田民生,おくだたみお,2002,JPN,Sony Records,,,
105,13,Rock the Nation,Montrose,,1973,US,Water Bros.,Ted Templeman,,
106,13,BYE,L⇔R,,1995,JPN,ポニーキャニオン,,,
107,13,涙の理由,Be Modern,,1986,JPN,EPIC SONY,,ちょっぴりタイムマシーン,
108,14,ビギナー,スピッツ,,2010,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,Dy7p52n2JGs
109,14,わかってもらえるさ,RCサクセション,,1976,JPN,キティレコード,,,
110,14,踊ろよベイビー,遠藤賢司,えんどうけんじ,1974,JPN,ポリドール,,,
111,14,香り,外道,げどう,1974,JPN,ショーボートレコード,,,
112,14,夕飯は御仕舞,葡萄畑,ぶどうばたけ,1974,JPN,ポリドール,,,
113,14,スウィート・ホーム大阪,ファニー・カンパニー,,1972,JPN,アトランティック,,,
114,14,On Wings of Love,紫,むらさき,1976,JPN,Bourbon Records,,,
115,14,シトラス,advantage Lucy,,1998,JPN,東芝EMI,,ちょっぴりタイムマシーン,
116,15,子グマ!子グマ!,スピッツ,,2016,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
117,15,We Will Rock You,Queen,,1977,UK,EMI,,,-tJYN-eG1zk
118,15,If the Kids Are United,Sham 69,,1978,UK,Polydor,,,
119,15,Idle Gossip,Toy Dolls,,1986,UK,Volume Records,,,
120,15,We’re Not Gonna Take It,Twisted Sister,,1984,US,Tom Werman,,,4xmckWVPRaI
121,15,Drunken Lullabies,Flogging Molly,,2002,US,SideOneDummy,Ted Hutt,,89NjEeHku8o
122,15,Sólo le pido a Dios,León Gieco,,1978,ARG,,,,UdEIMVbGUI4
123,15,天井裏から愛を込めて,アンジー,,1988,JPN,メルダック,,ちょっぴりタイムマシーン,
124,16,シロクマ,スピッツ,,2010,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,UiYl1r5m5a0
125,16,Baba O'Riley,The Who,,1971,UK,Polydor,Glyn Johns,,LDknRxdHNog
126,16,Applaud The Winner,Tantrum,,1979,US,Ovation Records,,,
127,16,Push,The Cure,,1985,UK,Fiction,David M. Allen,,
128,16,JOLLY ROGERS,THE WILLARD,,1985,JPN,キャプテンレコード,,,
129,16,The Ballroom Blitz,Sweet,,1973,UK,RCA,,,ewFBuYHldeY
130,16,This Magnificent Bird Will Rise,Deerhoof,,2002,US,Kill Rock Stars,,,hjAMDEfdluY
131,16,S.O.S,ハイハニDX,,2000,JPN,Knockers Records,,ちょっぴりタイムマシーン,
132,17,群青,スピッツ,,2007,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,13jH7X4aKi8
133,17,July Morning,Uriah Heep,,1971,UK,Bronze,,,
134,17,Look at Yourself,Uriah Heep,,1971,UK,Bronze,,,
135,17,The Wizard,Uriah Heep,,1972,UK,Bronze,,,
136,17,Come Away Melinda,Uriah Heep,,1970,UK,Vertigo,,,
137,17,Too Scared to Run,Uriah Heep,,1982,UK,Bronze,,,
138,17,I Can See You,Uriah Heep,,2011,UK,Frontiers,,,
139,17,この森へ←,チエ・カジウラ,,1996,JPN,SPEEDSTAR RECORDS,,ちょっぴりタイムマシーン,
140,18,ガーベラ,スピッツ,,2002,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
141,18,センチメンタル,Syrup16g,,2002,JPN,トライアド,,,
142,18,小さなリンジー,田中茉裕,たなかまひろ,2012,JPN,AVOCADO records,,,YFESOU_YdSA
143,18,貴方が好きな私,阿部真央,あべまお,2013,JPN,ポニーキャニオン,,,mvt21LGL7P0
144,18,サルビアの花,もとまろ,,1972,JPN,キャニオンレコード,,,
145,18,Autre Temps,Alcest,,2012,FR,Prophecy Productions,,,85c-P9hbmBg
146,18,ひかりのふるさと,青葉市子,あおばいちこ,2012,JPN,東雲録音,,,qoa1G6uBz-0
147,18,Boys & Girls,THE FUSE,,1990,JPN,東芝EMI,,ちょっぴりタイムマシーン,
148,19,スパイダー,スピッツ,,1994,JPN,ポリドール,笹路正徳,漫遊前の一曲,mf-RrGndfC8
149,19,Those Were the Days,Mary Hopkin,,1968,UK,Apple,Paul McCartney,,
150,19,The Legend of Xanadu,"Dave Dee, Dozy, Beaky, Mick & Tich",,1968,UK,Fontana Records,Steve Rowland,,
151,19,Hurdy Gurdy Man,Donovan,,1968,UK,Pye,Mickie Most,,CHxfOZH8cew
152,19,In-A-Gadda-Da-Vida,Iron Butterfly,,1968,US,Atco,,,hNBgEirKxq8
153,19,Irrésistiblement,Sylvie Vartan,,1968,FR,RCA Victor,,,
154,19,Race with the Devil,The Gun,,1968,UK,CBS,,,
155,19,京都,ピロカルピン,,2009,JPN,グララーガ,,ちょっぴりタイムマシーン,
156,20,日曜日,スピッツ,,1991,JPN,ポリドール,高橋信彦,漫遊前の一曲,
157,20,マッハバロン,すぎうらよしひろ,,1974,JPN,ポリドール,,,
158,20,ルパン三世 その2,チャーリー・コーセー,,1971,JPN,,,,
159,20,はじめ人間ギャートルズ,ザ・ギャートルズ,,1974,JPN,CBS・ソニー,,,
